# ReForger Anvil type-tag dictionary
# One entry per line as CRC32(class name)|class name; # starts a comment.
# Hand edits are fine -- a name is correct exactly when it hashes to its tag.
# Type dictionary for Assassin's Creed Origins.
# 913 of the 933 type tags this game's forges reference are named (97,9 %).
# 901 were proven from this game itself, from its running memory and its own executables.
# 7 were completed from published dictionaries (Assassin's Creed Odyssey (6), Assassin's Creed Black Flag Resynced (1)) and are marked with their source; this game does not ship the names of those types.
# Every entry is verified by hash against a tag this game's own forges reference: the
# tag is CRC-32 of the class name, so each line hashes back to the tag it names.
# Generated 2026-08-13.

0x60B663FB|Accomplishment
0x6CE44599|RangedWeaponSoundSet
0xC4A59FC7|RankManager
0x2853BB6A|RankManagerDLCAddon
0xF85C3B4F|ReactionManager
0x2EE12657|ReactionPack
0x934392B1|RecordingProfile
0x2D675BA2|ReferenceListShape
0x6CB034AF|Reflex3Options
0xBFD416EC|RegionCellTriangleBlock
0x17FB5AA8|RegionLayout
0xC61A6B20|ReinsAndHarnessesData
0xF91F08F1|ReplaceReactionHandlerLogicDescriptor
0xE436D4EE|ResurrectableSettings
0xD255A87D|ResurrectableSettingsDLCAddon
0x62A7F9CB|RewardDefinition
0x1D6E71D7|RewardManager
0xF8BDA454|RewardManagerDLCAddon
0x7D99FB39|RideableAnimalHandlingData
0xD8A8E3FB|RideableBulkVisualSetup
0xCEADD172|RideableFightSettings
0x91D550D3|RideableParkourSettings
0x0ED2AFD0|RideableSettings
0x26529FF6|RideableTargetTracker
0x495A01D6|RigidPoleHitchModel
0x0231A388|RiverCommonSoundSet
0x11BF3F3A|RiverWorldComponentData
0x4697AD4A|RotatingMirrorSoundSet
0x56C35203|SandboxMusicSettings
0xB0AFE8FE|SandstormActorDetector
0xA5377485|SandstormNavigationPlanTwoPoints
0x8F5FAB66|SandstormSoundSet
0x575C803B|SaveGameDataManager
0x1CBDE084|ShadowRigidBody
0x680456EA|ShadowsSettings
0xBC8E2B79|ShipManager
0x2291F4C6|ShopGlobalSettings
0x5537D42F|ShopGlobalSettingsDLCAddon
0xD1406B2F|ShopLabel
0x4753BC34|ShopSettingsDLCAddon
0x6447F9EA|SiegeCrossbowSettings
0x4465ED31|SiegeSoundSet
0x24AECB7C|Skeleton
0x9FFCCB73|Skill
0x497C8CDC|SkillsContextPatch
0xE76DE4CA|SkillSystem
0xDFB4B29D|SkyModelLUTSet
0x099317D5|SleepSettings
0xCBF1BCC5|SlowMotionSettings
0xEB37A4FD|SmartReward
0xF7A7E4DF|SoftBodySettings
0xADAA2F1C|SoftBodySettingsOverride
0xCECBE216|SoftBodySettingsOverrideByType
0xCEAC32B7|SoundBanksDLCAddon
0x49F387B1|SoundBanksLoadOnDemand
0x039A8532|SoundDampingMethod
0x3E546F2A|SoundFallaSettings
0x31D02853|SoundFwallaEmotionSettingItem
0x2A0FF3E2|SoundFwallaManager
0x192C036F|SoundFwallaSettings
0x8DDA228D|SoundInitSettings
0x6E6AF3F9|SoundNPCInfo
0x01FFF6FB|SoundPackagesDLCAddon
0x20B8F41A|SoundVoiceActiveStateSettings
0x1122101C|SoundVoiceNPCType
0x7A4D89B1|SoundVoicesSettings
0x1382A513|SoundVoicesSettingsDLCAddon
0x7D34F908|SoundWallaCombatSettings
0xE7B83453|SoundWallaLocationData
0x57C51075|SoundWallaSettings
0xCDBD1C60|SoundWeppaSettings
0xB5C43265|SourceMusicSettings
0xE48A3D92|SpawningDebug
0x4EFFF4FC|SpectatorCrowdsGlobalSoundSettings
0x27E52239|SpectatorCrowdsSoundSet
0xFA3F7A18|SphereShape
0x755ACE14|SplashFX
0x3126E5EE|SplashVectorFieldData
0x0BD01923|SplineCameraSelectorNode
0x80320FB8|SpotLight
0xBED73BE9|StaticPermutation
0x3DC6D919|StatusEffectPack
0xBD45F0CD|SteamControllerPlatformImage
0x1EF9B5E3|StoneCircleSoundSet
0xABA1F0C5|StoneCircleVoSoundSet
0xE55F39F1|StreamableAnimationDataBlock
0xE944EF88|StructuredBufferData
0x830A0CA7|SubtitlesManager
0x092689F8|SummonedRideableSettings
0xF9111953|SummonedRideableSettingsDLCAddon
0x849648F4|SwitchableTargetTracker
0xD56E8C60|SystemicFireSoundSet
0x46FF2D24|TacticalPositionManagerSettings
0x3C0E343D|TAGDictionaryDLCContainer
0xFFC5A970|TagDictionnaries
0x0196529F|TagDictionnary
0xD4117ED7|TagDLCAddon
0x8B330496|TAGGroupDLCContainer
0x02071BC3|TagRules
0x5F30B3C9|TAGRulesDLCContainer
0x16D1D21E|TagRulesRegion
0xF042235F|TemporalCameraTransition
0x01724188|TerrainMaterial
0x4BE94285|TerrainMaterialBank
0x24C84277|TerrainMaterialCompiledData
0xA7EAA850|TerrainModifiersRegionCellData
0x4E4353C1|TerrainNodeData
0x6B85BBC5|Territory
0xC525DD1B|TerritoryContextPatch
0x53CEC390|TextureFile    # from Assassin's Creed Odyssey
0x828AB4C6|TextureMapSelector
0xD70E6670|TextureSet
0x68ECCEA9|TextureStreamingManager
0x0569FB9E|TheaterCameraManager
0xB25B947C|TheaterCameraSelectorNode
0x28435F00|TheaterCinematic
0x84EC653F|TheaterData
0xB98E4068|TheaterNavigationManager
0x5B81DF8B|TheaterNavigationSelectorNode
0x0511A71F|ThebesBossArena
0x7F5D6DDB|ThebesBossDefinition
0x0BBC5E8C|ThebesBossesSoundSet
0xF620F5FF|ThebesBossPool
0xBC2C7429|ThrowableManagerUnspawnSettings
0x9096E879|ThrowableObjectUnspawnSettings
0x21307A8B|ThrowableSoundSet
0xF0C85018|TimeOfDayPropertyControllerData
0xDE45C442|TitleUpdateRefererComponent
0x469E10DC|TobiiFeatureEnabledViewOptionViewModel
0x9EB5821B|TorchSettings
0x5924DA3E|TraversableCrackSettings
0x6ED380C9|TraversableCrackSoundSet
0xB0D29BFA|TruncatedPyramidShape
0x7B7D0ED7|TutorialEntry
0x8B386116|UIAfterlifeManager
0x843FE39A|UIAfterlifeViewSettings
0x549E34D8|UICategory
0xD31B11B3|UICelebrationManager
0x1DC1A50A|UICraftingContextCraftingItemsAddon
0xE513A21F|UICraftingContextCraftingItemsAddonList
0x09515831|UICraftingItem
0x791965D5|UIDiscoveryTour
0x2E772CD8|UIEnumBinding
0x2CA30BD1|UIGenericSounds
0xE18C7815|UIHiddenBladeMetaStatsEntry
0xE8FB9AD9|UIHieroglyphContextPatch
0xD55C0C83|UIHieroglyphItem
0xE1AB221D|UIIconSettings
0x9EDE9DCC|UIIconSettingsLegendItem
0x10C0CDCC|UIIconSettingsManager
0xB39EE3B6|UiInfoContextContainer
0x85674589|UiInfoRepository
0x2244F9F8|UiInfoRepositoryDLCAddon
0xD57C042B|UIInventoryCategory
0xA872FC87|UiInventoryContextDLCAddon
0x036EBC6B|UIItemAttribute
0x225C4723|UILightingSetup
0x5B9FB912|UILocalizationRepository
0xE93750FC|UILocalizationRepository2
0xA5CC3107|UILocationContainer
0x0534CD59|UIManagerDLCAddon
0x2A6590B7|UIManagerGame
0xF42153D4|UIMeleeAttackMetaStatsEntry
0x3E41DF78|UIMemoryContextData
0x68DDEDF6|UIMemoryContextPatch
0x1DBB8C37|UIMountSpeedStatsEntry
0xA272F485|UIMythItem
0x3242F83E|UIPresentDayAudioAttachment
0xF3957732|UIPresentDayEmailEntry
0xE365A42B|UIPresentDayFileEntry
0x2689D809|UIPresentDayFolderEntry
0xAE409461|UIPresentDayImagesAttachment
0x57039DDA|UIPresentDayMissionEntry
0xA46C88AB|UIPresentDayVideoAttachment
0x802262C4|UIQuest
0xA498AE54|UIQuestDistributorItem
0x1EAFC3B3|UIQuestManager
0xEBFF9F52|UIRangedAttackMetaStatsEntry
0x8AC1FCC3|UIResistanceMetaStatsEntry
0xEE3AB005|UISounds
0x98435A63|Universe
0xA58F3865|UniverseDLCAddon
0x98CF48A0|UniverseGraphicData
0xB37C1E71|UniverseTagRules
0x84E08BE7|VehicleDamageThresholdTable
0x70D8A4C2|VehicleRaceCheckpointSettings
0xAEC24CCD|VehicleRaceRacerCustomization
0xC83A1AE8|VehicleSoundSet
0x5FA61968|VideoPlayerManagerDLCAddon
0x31D0908E|VirtualEntitiesComplexAcquisitionDefinition
0x7565942C|VirtualEntityDefinition
0xAA0E379D|VirtualEntityNameTag
0x8D6519D2|VisibilityRangeModule
0x52AD75E9|VisionMode
0x7BDC0DCF|VisualAmbianceRegionCellData
0xB35053D0|VisualBowSplashComponentData
0x9A29D794|VisualDamageSetup
0x135DA422|VoiceManager
0x8B1359FA|VoiceManagerDLCAddon
0xEED47A1E|WakeUpSettings
0xCB3CE953|WalkAndTalkTargetTracker
0x7DBA7FDE|WaterBoatBehaviorData
0x5F7F4367|WaterBoatFXData
0xEEFA3781|WaterBoatHandlingData
0x9FBA51D1|WaterBoatSettings
0xA84D0B26|WaterBoatSoundSet
0x2369697B|WaterBoatVisualData
0x8CCCE798|WaterFloatingObjectSettings
0x4F6E0B3E|WaterMesh
0x7F86C101|WaterObjectSoundSet
0x3861A620|WaterObjectSplashSettings
0xCC356774|WaterQualitySettings
0xA0176936|WaterSettingsBlendState
0x3BB12C92|WaterShallownessSettings
0xE987A59D|WaterShipArcherGroupSettings
0x4DEC90C6|WaterShipArcherSettings
0x7A1BCA31|WaterShipArcherSoundSet
0xD4D8FBDE|WaterShipFXData
0xCE54E334|WaterShipHandlingData
0x6F07F439|WaterShipSettings
0x58F0AECE|WaterShipSoundSet
0x0C1A35D9|WaterShipUIData
0x2259E6E2|WaterVehicleAmbientShipConfig
0x4801F69C|WaterVehicleAnimatedActionFilter
0xDD512BAB|WaterVehicleDestructiblePointsContainer
0x1710DEEF|WaterVehicleDestructiblePresentationDataPack
0xEBEB41B7|WaterVehicleDynamicRaidConfig
0x1D269418|WaterVehicleGuardPostConfig
0xEFA54A58|WaterVehicleHealthStateContainer
0x1836E2AD|WaterVehicleQuestShipConfig
0x8A5B94DF|WaterVehicleSeparatedDestructiblePointState
0x6B8420A2|WaterVehicleSpecialRaidConfig
0x56D7E5B6|WaterVehicleVirtualRaidConfig
0x00281B72|WeaponSettings
0x37DF4185|WeaponSoundSet
0x887004DC|WeatherPropertyControllerData
0xA75E1E80|WeightedTable
0x8C87DB2A|WheatFieldsShipSoundSet
0xBB5E8663|WheeledVehicleBehaviorData
0x281ECE3C|WheeledVehicleHandlingData
0xD21119F5|WhiteRoomDLCAddon
0xDC648C1F|WhiteRoomManager
0x1756B2BA|WhiteRoomTransitionProfile
0x56261066|WindData
0x4CB04FBC|WindFlowDataChunk
0xBC116237|WindPropertyControllerData
0xFBB63E47|World
0xB52AC9FF|WorldDataDLCAddon
0x19E4C196|WorldDLCContentData
0x8FB80DD6|WorldGI
0x2B0695D0|WorldMapManager
0x5730D30E|WorldParticleData
0x3B9EE6E6|WorldPathManager
0x90AE4959|WorldPathNavigationSetup
0xAA763CA7|WorldPathTestCollection
0x03091E55|WorldPortalManager
0x07FAD9A0|WorldTransitionComponent
0x7C00F6AF|WorldTransitionPortal
0x7AF4480F|WorldTransitionProfile
0x5A1A485C|WorldTransitionProfileContainer
0x18012930|ZipLineSettings
0x2FF673C7|ZipLineSoundSet
